 Dimension       Time    Gflop/s       GB/s
        20   0.005186   0.451190   0.617012
        40   0.024997   0.758485   1.024115
        60   0.073145   0.878534   1.181222
        80   0.177361   0.860618   1.154708
       100   0.352622   0.846516   1.134360
       120   0.616006   0.838044   1.122067
       140   1.004585   0.816516   1.092591
       160   1.492329   0.820838   1.097882
       180   1.994492   0.874779   1.169621
       200   2.748728   0.870948   1.164175
       220   3.797066   0.839369   1.121708
       240   5.017759   0.824782   1.102006
       260   6.099069   0.862863   1.152700
       280   8.050332   0.816592   1.090738
       300   9.613858   0.841130   1.123378
       320  12.707382   0.772389   1.031463
       340  13.980333   0.842173   1.124551
       360  16.570923   0.843487   1.126214
       380  19.782859   0.831019   1.109486
       400  23.500127   0.815996   1.089356
       420  26.449047   0.839347   1.120464
       440  30.684599   0.831888   1.110446
       460  35.834093   0.814003   1.086518
       480  42.545943   0.778994   1.039742
       500  48.110461   0.778677   1.039275
       520  55.696070   0.756639   1.009824
       540  64.705882   0.729384   0.973414
       560  74.624145   0.705372   0.941336
       580  84.678332   0.690651   0.921662
